,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
612,963966,Low Medium,Low,Low,Medium High,Medium,June-Sep,BV,The Sorcerer's Apprentice,2010,PG
613,1392170,Low,Medium,High,High,Medium High,Jan-May,LGF,The Hunger Games,2012,PG-13
614,1837703,Low,Low,Low,Low Medium,Medium,Oct-Nov,BV,The Fifth Estate,2013,R
615,2023453,Low,Low,Low,Medium High,Medium High,June-Sep,Fox,Diary of a Wimpy Kid: Dog Days,2012,PG
616,1078588,Low,Low,Low,Medium,Medium High,June-Sep,WB,My Sister's Keeper,2009,PG-13
617,1814621,Low,Low,Low,Medium,Medium,Jan-May,Focus,Admission,2013,PG-13
618,2024469,Low,Low,Low,Medium High,Medium High,Jan-May,Uni.,Non-Stop,2014,PG-13
619,3210686,Low,Low,Low,Medium High,Medium,Jan-May,Fox,Son of God,2014,PG-13
620,1441326,Low,Low,Low,Low,Medium High,Oct-Nov,FoxS,Martha Marcy May Marlene,2011,R
621,488604,Low,Low,Low,Low,Medium,June-Sep,Magn.,The Oxford Murders,2010,R
622,1758830,Low,Low,Low,Medium High,Medium,Dec,Uni.,This Is 40,2012,R
623,1045778,Low,Low,Low,Medium High,Low Medium,June-Sep,Sony,Year One,2009,PG-13
624,409459,Low Medium,Low,Low Medium,High,High,Jan-May,WB,Watchmen,2009,R
625,1298650,Medium,Low Medium,Medium,High,Medium High,Jan-May,BV,Pirates of the Caribbean: On Stranger Tides,2011,PG-13
626,1234721,Low Medium,Low,Low,Medium High,Medium,Jan-May,Sony,RoboCop ,2014,PG-13
627,1866249,Low,Low,Low,Low,Medium High,Oct-Nov,FoxS,The Sessions,2012,R
628,2784678,Low,Low,Low,Low Medium,Medium High,Dec,Par.,Top Five,2014,R
629,2084970,Low,Low,Low,Low,High,Oct-Nov,Wein.,The Imitation Game,2014,PG-13
630,2318092,Low,Low,Low,Medium High,Medium High,Jan-May,Uni.,Endless Love ,2014,PG-13
631,2788710,Low,Low,Low,Low,Medium High,Dec,Sony,The Interview ,2014,R
632,892791,Low Medium,Low Medium,Medium,High,Medium High,Jan-May,P/DW,Shrek Forever After,2010,PG
633,2692250,Low Medium,Low,Low,High,Medium High,Dec,Fox,Night at the Museum: Secret of the Tomb,2014,PG
634,865559,Low,Low,Low,Low Medium,Medium,June-Sep,FoxS,My Life in Ruins,2009,PG-13
635,417741,Medium,Medium,Medium,High,Medium High,June-Sep,WB,Harry Potter and the Half-Blood Prince,2009,PG
636,1314228,Low,Low,Low,Medium High,Low Medium,Dec,Sony,Did You Hear About the Morgans?,2009,PG-13
637,365929,Low,Low,Low,Medium High,Medium,June-Sep,WB,Whiteout,2009,R
638,1205537,Low,Low,Low,Medium High,Medium,Jan-May,Par.,Jack Ryan: Shadow Recruit,2014,PG-13
639,2265398,Low,Low,Low,Low,Medium,June-Sep,Magn.,Drinking Buddies,2013,R
640,1161418,Low,Low,Low,Low,Medium,Oct-Nov,FoxS,Gentlemen Broncos,2009,PG-13
641,2103281,Low Medium,Low Medium,Medium,High,High,June-Sep,Fox,Dawn of the Planet of the Apes,2014,PG-13
642,795441,Low,Low,Low,Low,Medium High,Jan-May,SPC,Winter in Wartime,2011,R
643,1568338,Low,Low,Low,Medium High,Medium High,Jan-May,LG/S,Man on a Ledge,2012,PG-13
644,1656190,Low,Low,Low,Medium,Medium High,Jan-May,LGF,Safe ,2012,R
645,1792647,Low,Low,Low,Low,Medium High,Dec,Par.,Cirque Du Soleil: Worlds Away,2012,PG
646,2333784,Low Medium,Low,Low,Medium High,Medium,June-Sep,LGF,The Expendables 3,2014,PG-13
647,1242460,Low,Low,Low,Low,Medium High,Dec,Osci.,We Need to Talk About Kevin,2011,R
648,1245526,Low,Low,Low,Medium High,Medium High,Oct-Nov,Sum.,Red,2010,PG-13
649,1748179,Low,Low,Low,Low,Medium,June-Sep,MNE,Red Lights ,2012,R
650,1826590,Low,Low,Low,Medium,Medium,Jan-May,SGem,About Last Night ,2014,R
651,1648179,Low,Low,Low,Medium High,Medium High,Oct-Nov,Sony,Here Comes the Boom,2012,PG
652,1517489,Low,Low,Low,Medium High,Low,June-Sep,W/Dim.,Spy Kids: All the Time in the World,2011,PG
653,1605803,Low,Low,Low,Low,Medium,June-Sep,MBox,Last Ride,2012,PG-13
654,1148204,Low,Low,Low,Medium High,Medium High,June-Sep,WB,Orphan,2009,R
655,472033,Low,Low,Low,Low Medium,Medium High,June-Sep,Focus,9,2009,PG-13
656,1477837,Low,Low,Low,Low,Medium High,Jan-May,FoxS,Cedar Rapids,2011,R
657,3063516,Low,Low,Low,Medium High,Medium High,Oct-Nov,Par.,Jackass Presents: Bad Grandpa,2013,R
658,1979320,Low,Low,Low,Low,High,June-Sep,Uni.,Rush ,2013,R
659,2278388,Low,Low,Low,Low,High,Jan-May,FoxS,The Grand Budapest Hotel,2014,R
660,1054606,Low,Low,Low,Low,Medium High,Dec,SPC,The Imaginarium of Doctor Parnassus,2009,PG-13
661,1549572,Low,Low,Low,Low,Medium High,June-Sep,FoxS,Another Earth,2011,PG-13
662,1038686,Low,Low,Low,Medium,Medium,Jan-May,SGem,Legion ,2010,R
663,1458175,Low,Low,Low,Medium,Medium High,Oct-Nov,LGF,The Next Three Days,2010,PG-13
664,1175709,Low,Low,Low,Low,Medium High,Dec,Magn.,All Good Things,2010,R
665,1477715,Low,Low,Low,Medium High,Medium High,Oct-Nov,Sony,Michael Jackson's This Is It,2009,PG
666,1111422,Low Medium,Low,Low,Medium High,Medium High,June-Sep,Sony,The Taking of Pelham 1 2 3,2009,R
667,1939659,Low,Low,Low,Medium High,Medium,Oct-Nov,SGem,Carrie ,2013,R
668,1231580,Low,Low Medium,Low Medium,High,Low Medium,Dec,Fox,Alvin and the Chipmunks: The Squeakquel,2009,PG
669,1231583,Low,Low,Low,Medium High,Medium High,Oct-Nov,WB,Due Date,2010,R
670,1231587,Low,Low,Low,Medium High,Medium High,Jan-May,MGM,Hot Tub Time Machine,2010,R
671,1821549,Low,Low,Low,Low,High,Oct-Nov,Par.,Nebraska,2013,R
672,2609912,Low,Low,Low,Low,Medium High,June-Sep,LG/S,Kevin Hart: Let Me Explain,2013,R
673,1650043,Low,Low,Low,Medium High,Medium High,Jan-May,Fox,Diary of a Wimpy Kid: Rodrick Rules,2011,PG
674,1692486,Low,Low,Low,Low,Medium High,Dec,SPC,Carnage ,2011,R
675,1716777,Low,Low,Low,Medium,Medium High,June-Sep,BV,People Like Us,2012,PG-13
676,359950,Low Medium,Low,Low,Medium High,Medium High,Dec,Fox,The Secret Life of Walter Mitty,2013,PG
677,1321509,Low,Low,Low,Medium,Medium,Jan-May,SGem,Death at a Funeral ,2010,R
678,1647668,Low,Low,Low,Medium High,Medium High,Jan-May,BV,Million Dollar Arm,2014,PG
679,1020072,Low,Low,Low,Low,Medium High,Dec,Par.,Selma,2014,PG-13
680,1267297,Low Medium,Low,Low,High,Medium,June-Sep,Par.,Hercules ,2014,PG-13
681,1758692,Low,Low,Low,Low,Medium High,Oct-Nov,ParV,Like Crazy,2011,PG-13
682,327597,Low,Low,Low,Medium,High,Jan-May,Focus,Coraline,2009,PG
683,337692,Low,Low,Low,Low,Medium,Jan-May,Free,The Road ,2012,R
684,817230,Low,Low,Low Medium,High,Medium,Jan-May,WB,Valentine's Day,2010,PG-13
685,913354,Low,Low,Low,Medium,Medium,Dec,SGem,Armored,2009,PG-13
686,1397280,Low,Low,Low Medium,High,Medium High,Oct-Nov,Fox,Taken 2,2012,PG-13
687,1288558,Low,Low,Low,Medium High,Medium High,Jan-May,TriS,Evil Dead ,2013,R
688,1366344,Low,Low,Low,Medium High,Medium,Dec,Fox,The Sitter,2011,R
689,1229238,Low Medium,Low Medium,Low,Low,Medium High,Dec,Par.,Mission: Impossible - Ghost Protocol,2011,PG-13
690,1411697,Low,Low Medium,Medium,High,Medium High,Jan-May,WB,The Hangover Part II,2011,R
691,2125435,Low,Low,Low,Low,Medium High,June-Sep,FoxS,Beasts of the Southern Wild,2012,PG-13
692,1376213,Low,Low,Low,Low,Medium,Jan-May,TFA,The Adventurer: The Curse of the Midas Box,2014,PG
693,1524137,Low,Low,Low,Medium High,Medium High,Jan-May,Uni.,Contraband,2012,R
694,1078912,Low Medium,Low Medium,Low Medium,High,Medium,Jan-May,Fox,Night at the Museum: Battle of the Smithsonian,2009,PG
695,1091191,Low,Low,Low,Low,High,Dec,Uni.,Lone Survivor,2013,R
696,901476,Low,Low,Low,Medium High,Medium,Jan-May,Fox,Bride Wars,2009,PG
697,1756427,Low,Low,Low,Low,Low,Jan-May,Magn.,Rubber,2011,R
698,1007018,Low,Low,Low,Low,Medium,June-Sep,Anch.,The Open Road,2009,PG-13
699,1535612,Low,Low,Low,Low,Medium,Oct-Nov,Anch.,The Son of No One,2011,R
700,2515086,Low,Low,Low,Medium High,Low Medium,June-Sep,TriS,One Direction: This is Us,2013,PG
701,821642,Low,Low,Low,Medium,Medium High,Jan-May,P/DW,The Soloist,2009,PG-13
702,1017451,Low,Low,Low,Low,Medium High,Jan-May,App.,The Runaways,2010,R
703,810784,Low,Low,Low,Low,Medium High,June-Sep,App.,Bright Star,2009,PG
704,1985017,Low,Low,Low,Low Medium,Medium,Oct-Nov,ADC,Atlas Shrugged: Part II,2012,PG-13
705,1596365,Low,Low,Low,Medium High,Medium High,Jan-May,CBS,The Woman in Black,2012,PG-13
706,1621039,Low,Low,Low,High,Medium,Oct-Nov,Rela.,Free Birds,2013,PG
707,1212419,Low,Low,Low,Low,Medium High,Oct-Nov,WB,Hereafter,2010,PG-13
708,1625346,Low,Low,Low,Low,Medium High,Dec,Par.,Young Adult,2011,R
709,1216491,Low,Low,Low,Low,Medium High,Oct-Nov,Focus,Kill the Messenger,2014,R
710,1321870,Low,Low,Low,Medium High,Medium High,Jan-May,WB,Gangster Squad,2013,R
711,814335,Low,Low,Low,Medium High,Medium,Oct-Nov,SGem,The Stepfather ,2009,PG-13
712,1341167,Low,Low,Low,Low,Medium High,Oct-Nov,Drft.,Four Lions,2010,R
713,804497,Low,Low,Low,Low,Medium High,Oct-Nov,Focus,It's Kind of a Funny Story,2010,PG-13
714,1634003,Low,Low,Low,Low,Medium High,June-Sep,Free,Underdogs,2013,PG
715,905372,Low,Low,Low,Medium High,Medium,Oct-Nov,Uni.,The Thing ,2011,R
716,1075417,Low,Low,Low,Medium High,Medium,Jan-May,BV,Race to Witch Mountain,2009,PG
717,1103153,Low,Low,Low,Medium High,Medium,June-Sep,LGF,Killers,2010,PG-13
718,1045658,Low,Low,Low,Low,High,Oct-Nov,Wein.,Silver Linings Playbook,2012,R
719,889573,Low,Low,Low,Medium,Medium,June-Sep,Mira.,The Switch,2010,PG-13
720,1226273,Low,Low,Low,Medium High,Medium High,Jan-May,WB,Edge of Darkness,2010,R
721,1226271,Low,Low,Low,Low,High,Oct-Nov,SPC,The Damned United,2009,R
722,1572315,Low,Low,Low,Medium,Low Medium,Jan-May,LGF,Texas Chainsaw 3D,2013,R
723,401729,Medium High,Low,Low,High,Medium High,Jan-May,BV,John Carter,2012,PG-13
724,1743720,Low,Low,Low,Low,Medium High,Jan-May,SPC,POM Wonderful Presents: The Greatest Movie Ever Sold,2011,PG-13
725,1454029,Low,Low Medium,Low,Medium,High,June-Sep,BV,The Help,2011,PG-13
726,1285016,Low,Low,Low,Medium High,High,Oct-Nov,Sony,The Social Network,2010,PG-13
727,2713180,Low,Low,Low,Medium High,High,Oct-Nov,Sony,Fury ,2014,R
728,380510,Low Medium,Low,Low,Low,Medium High,Dec,P/DW,The Lovely Bones,2009,PG-13
729,1399103,Medium,Medium,Medium,High,Medium High,June-Sep,P/DW,Transformers: Dark of the Moon,2011,PG-13
730,1605783,Low,Low,Low,Low,High,Jan-May,SPC,Midnight in Paris,2011,PG-13
731,1907639,Low,Low,Low,Low,Medium,June-Sep,RM,Hardflip,2012,PG-13
732,1462054,Low,Low,Low,Low Medium,Medium,Jan-May,Viv.,Letters to God,2010,PG
733,1418377,Low,Low,Low,Medium High,Medium,Jan-May,LGF,"I, Frankenstein",2014,PG-13
734,1790886,Low Medium,Low,Low,Medium High,Medium,June-Sep,WB,The Campaign,2012,R
735,1790885,Low,Low,Low,Low,Medium High,Dec,Sony,Zero Dark Thirty,2012,R
736,1515091,Low Medium,Low Medium,Low Medium,High,Medium High,Dec,WB,Sherlock Holmes: A Game of Shadows,2011,PG-13
737,1563738,Low,Low,Low,Low Medium,Medium High,June-Sep,Focus,One Day,2011,PG-13
738,1041804,Low Medium,Low,Low,Low,Low Medium,Oct-Nov,Free,The Nutcracker in 3D,2010,PG
739,1408253,Low,Low,Low Medium,Medium,Medium,Jan-May,Uni.,Ride Along,2014,PG-13
740,1086772,Low,Low,Low,Medium High,Medium High,Jan-May,WB,Blended,2014,PG-13
741,1640484,Low,Low,Low,Medium,Medium,Jan-May,TriS,Jumping the Broom,2011,PG-13
742,1555064,Low,Low,Low,Low,Medium High,Dec,SGem,Country Strong,2010,PG-13
743,2011159,Low,Low,Low,Medium,Medium,June-Sep,SGem,No Good Deed ,2014,PG-13
744,1003034,Low,Low,Low,Low,Medium High,Jan-May,IFC,Perrier's Bounty,2010,R
745,1007029,Low,Low,Low,Low,Medium High,Dec,Wein.,The Iron Lady,2011,PG-13
746,1855325,Low,Low,Low,Medium High,Medium,June-Sep,SGem,Resident Evil: Retribution,2012,R
747,1981677,Low,Low,Low,Low,Medium High,June-Sep,Uni.,Pitch Perfect,2012,PG-13
748,1287468,Low,Low,Low,High,Low Medium,June-Sep,WB,Cats & Dogs: The Revenge of Kitty Galore,2010,PG
749,2083383,Low,Low,Low,Medium High,Medium High,June-Sep,WB,Trouble with the Curve,2012,PG-13
750,765446,Low,Low,Low,Medium High,Medium,Jan-May,Wein.,Escape From Planet Earth,2013,PG
751,1480656,Low,Low,Low,Low,Low Medium,Jan-May,IFC,Polisse,2012,R
752,1646971,Low Medium,Low Medium,Low Medium,High,High,June-Sep,Fox,How to Train Your Dragon 2,2014,PG
753,1270262,Low,Low,Low,Low,Medium High,June-Sep,LGF,The Devil's Double,2011,R
754,1222817,Low,Low,Low,Medium High,Medium,June-Sep,Sony,Zookeeper,2011,PG
755,1210819,Medium High,Low,Low,High,Medium High,June-Sep,BV,The Lone Ranger,2013,PG-13
756,1742044,Low,Low,Low,Medium High,Medium High,June-Sep,WB,Jersey Boys,2014,R
757,1321860,Low,Low,Low,Low,Medium High,Jan-May,Sum.,The Beaver,2011,PG-13
758,2267998,Low,Low Medium,Low Medium,Medium High,High,Oct-Nov,Fox,Gone Girl,2014,R
759,1710396,Low,Low,Low,Medium High,Medium,Jan-May,WB,Joyful Noise,2012,PG-13
760,1633356,Low,Low,Low,Medium High,Low Medium,June-Sep,Rela.,Shark Night 3D,2011,PG-13
761,1336608,Low,Low,Low,Medium High,Medium,June-Sep,WB (NL),Rock of Ages,2012,PG-13
762,1194417,Low,Low,Low,Low,Medium,Dec,ATO,Casino Jack,2010,R
763,775552,Low,Low,Low,Medium High,Medium,June-Sep,Fox,Aliens in the Attic,2009,PG
764,1840417,Low,Low,Low,Medium High,Medium High,June-Sep,CBS,The Words,2012,PG-13
765,480687,Low,Low,Low,Medium High,Medium,Jan-May,WB (NL),Hall Pass,2011,R
766,1904996,Low,Low,Low,Medium,Medium,Jan-May,FD,Parker,2013,R
767,2884206,Low,Low,Low,Low,Medium High,June-Sep,FoxS,I Origins,2014,R
768,2361700,Low,Low,Low,Low,High,Oct-Nov,MBox,Antarctica: A Year on Ice,2014,PG
769,1571249,Low,Low,Low,Low,Medium High,June-Sep,RAtt.,The Skeleton Twins,2014,R
770,1659337,Low,Low,Low,Low,High,June-Sep,LG/S,The Perks of Being a Wallflower,2012,PG-13
771,492389,Low,Low,Low,Medium High,Low,Jan-May,Sum.,Furry Vengeance,2010,PG
772,1583420,Low,Low,Low,Medium High,Medium,June-Sep,Uni.,Larry Crowne,2011,PG-13
773,1583421,Low Medium,Low,Low Medium,High,Medium,Jan-May,Par.,G.I. Joe: Retaliation,2013,PG-13
774,816711,Medium,Low Medium,Low Medium,High,Medium High,June-Sep,Par.,World War Z,2013,PG-13
775,2170593,Low,Low,Low,Low,Medium High,Oct-Nov,Wein.,St. Vincent,2014,PG-13
776,448694,Low Medium,Low,Low,High,Medium High,Oct-Nov,P/DW,Puss in Boots,2011,PG
777,1622979,Low,Low,Low,Medium High,Medium,June-Sep,WB (NL),Final Destination 5,2011,R
778,1058017,Low,Low,Low,Low Medium,Medium High,Oct-Nov,WB,The Invention of Lying,2009,PG-13
779,758746,Low,Low,Low Medium,Medium High,Medium,Jan-May,WB (NL),Friday the 13th ,2009,R
780,1057500,Low,Low,Low,Medium,Medium High,Dec,WB,Invictus,2009,PG-13
781,1243957,Low Medium,Low,Low,Medium High,Medium,Dec,Sony,The Tourist,2010,PG-13
782,1911644,Low,Low,Low,Medium,Medium High,Jan-May,TriS,The Call,2013,R
783,1686018,Low,Low,Low,Low Medium,Low,June-Sep,BD,Creature ,2011,R
784,1615065,Low,Low,Low,Medium,Medium High,June-Sep,Uni.,Savages ,2012,R
785,2051894,Low,Low,Low,Low,Medium,Jan-May,Gold.,Home Run,2013,PG-13
786,1366365,Low,Low,Low,Low Medium,Low Medium,June-Sep,LG/S,The Cold Light of Day,2012,PG-13
787,2209418,Low,Low,Low,Low,High,Jan-May,SPC,Before Midnight,2013,R
788,1924429,Low,Low,Low,Low,Medium High,Jan-May,FoxS,Trance,2013,R
789,1690953,Low,Medium,Medium,High,Medium High,June-Sep,Uni.,Despicable Me 2,2013,PG
790,1872194,Low,Low,Low,Medium High,Medium High,Oct-Nov,WB,The Judge,2014,R
791,1125929,Low,Low,Low,Low,Medium,June-Sep,E1,Love Ranch,2010,R
792,1124035,Low,Low,Low,Medium,Medium High,Oct-Nov,Sony,The Ides of March,2011,R
793,1599348,Low,Low,Low Medium,Medium High,Medium High,Jan-May,Uni.,Safe House,2012,R
794,1484522,Low,Low,Low,Low,Medium High,June-Sep,RF,8: The Mormon Proposition,2010,R
795,1981115,Low Medium,Low Medium,Medium,High,Medium High,Oct-Nov,BV,Thor: The Dark World,2013,PG-13
796,1877832,Medium,Low Medium,Medium,High,High,Jan-May,Fox,X-Men: Days of Future Past,2014,PG
797,386117,Low Medium,Low,Low,High,Medium High,Oct-Nov,WB,Where the Wild Things Are,2009,PG
798,1212436,Low,Low,Low,Medium High,Medium,Jan-May,CBS,The Back-Up Plan,2010,PG-13
799,1176740,Low,Low,Low,Low,Medium High,June-Sep,Focus,Away We Go,2009,R
800,1183923,Low,Low,Low,Low,Medium High,Oct-Nov,Gold.,Welcome to the Rileys,2010,R
801,2404311,Low,Low,Low,Medium High,Medium High,June-Sep,Rela.,The Family ,2013,R
802,2377322,Low,Low,Low,Medium High,Medium,June-Sep,SGem,Deliver Us From Evil,2014,R
803,1080016,Low Medium,Low Medium,Low Medium,High,Medium High,June-Sep,Fox,Ice Age: Dawn of the Dinosaurs,2009,PG
804,450405,Low,Low,Low,Medium High,Medium,Oct-Nov,Uni.,Cirque du Freak: The Vampire's Assistant,2009,PG-13
805,1405365,Low,Low,Low,Low,Medium High,June-Sep,SPC,Celeste and Jesse Forever,2012,R
806,1152836,Low Medium,Low,Low,Medium High,Medium High,June-Sep,Uni.,Public Enemies,2009,R
807,2281587,Low,Low,Low,Medium High,Medium High,Jan-May,BV,Muppets Most Wanted,2014,PG
808,1100119,Low,Low,Low,Medium High,Low Medium,June-Sep,WB,Shorts,2009,PG
809,1596346,Low,Low,Low,Medium,Medium High,Jan-May,TriS,Soul Surfer,2011,PG
810,1596343,Low Medium,Low Medium,Medium,High,Medium High,Jan-May,Uni.,Fast Five,2011,PG-13
811,1046173,Medium,Low Medium,Low Medium,High,Medium,June-Sep,Par.,G.I. Joe: The Rise of Cobra,2009,PG-13
812,1233227,Low,Low,Low,Medium High,Medium,Oct-Nov,LGF,Saw VI,2009,R
813,438488,Medium,Low,Low Medium,Medium High,Medium High,Jan-May,WB,Terminator Salvation,2009,PG-13
814,2304771,Low,Low,Low,Low,Medium High,Oct-Nov,Wein.,Mandela: Long Walk to Freedom,2013,PG-13
